coin,tf,long_filter,short_filter,params,positive,beat_bh,n_periods,avg_ret,min_ret,avg_sharpe,total_trades,recent_3m_ret,recent_3m_wr,recent_3m_tr,recent_3m_long,recent_3m_sht,bear_2025q4_ret,bear_2025q4_wr,bear_2025q4_tr,bear_2025q4_long,bear_2025q4_sht,bull_2025q3_ret,bull_2025q3_wr,bull_2025q3_tr,bull_2025q3_long,bull_2025q3_sht,bull_2024h2_ret,bull_2024h2_wr,bull_2024h2_tr,bull_2024h2_long,bull_2024h2_sht,bear_2024h1_ret,bear_2024h1_wr,bear_2024h1_tr,bear_2024h1_long,bear_2024h1_sht,bull_2023_ret,bull_2023_wr,bull_2023_tr,bull_2023_long,bull_2023_sht
BTC,1h,깊은피보,깊은피보,TP3SL1,4,3,6,-2.76,-38.99,-0.18,417,-11.8,23.3,43.0,20.0,23.0,6.13,37.5,32.0,16.0,16.0,12.34,46.7,30.0,19.0,11.0,-38.99,19.1,94,44,50,10.32,35.9,92,47,45,5.44,32.5,126,51,75
ETH,1h,Z-Score낮음,거래량스파이크,TP6SL2,4,3,6,-2.53,-40.88,-0.188,302,-26.59,25.8,31.0,7.0,24.0,14.94,37.0,27.0,1.0,26.0,3.64,33.3,27.0,6.0,21.0,12.11,34.5,55,9,46,21.58,38.3,47,8,39,-40.88,32.2,115,18,97
ETH,4h,기본,RSI과매수,TP6SL2,4,3,6,2.01,-19.3,-0.2,161,8.5,33.3,15.0,14.0,1.0,-7.94,23.1,13.0,13.0,0.0,-19.3,7.7,13.0,13.0,0.0,24.66,37.1,35,33,2,5.19,33.3,18,16,2,0.97,26.9,67,63,4
ETH,1h,Z-Score낮음,깊은피보,TP4SL1,4,3,6,-3.02,-16.08,-0.224,312,8.54,37.0,27.0,7.0,20.0,2.22,32.0,25.0,1.0,24.0,-15.59,21.4,28.0,10.0,18.0,2.21,32.3,65,11,54,-16.08,28.3,60,12,48,0.59,40.2,107,38,69
BTC,1h,깊은피보,RSI+깊은피보,TP6SL2,4,3,6,1.37,-18.25,-0.245,218,-18.25,25.0,20.0,16.0,4.0,-13.42,29.4,17.0,14.0,3.0,13.01,65.0,20.0,12.0,8.0,0.75,36.4,44,35,9,10.46,44.9,49,34,15,15.7,54.4,68,38,30
ETH,4h,Z-Score낮음,거래량스파이크,TP4SL1,4,2,4,5.01,0.14,0.498,54,,,,,,0.14,37.5,8.0,1.0,7.0,,,,,,3.7,37.5,8,0,8,10.6,42.9,14,2,12,5.6,33.3,24,1,23
ETH,1h,Z-Score낮음,RSI+거래량,TP5SL2,4,2,6,4.39,-3.04,0.41,133,8.74,50.0,12.0,7.0,5.0,8.03,50.0,8.0,1.0,7.0,-2.07,38.5,13.0,10.0,3.0,-3.04,36.8,19,13,6,14.51,50.0,18,13,5,0.15,39.7,63,38,25
BTC,1h,RSI+거래량,EMA200아래+RSI,TP5SL2,4,2,6,3.36,-12.97,0.406,84,-3.76,36.4,11.0,6.0,5.0,12.34,75.0,8.0,3.0,5.0,4.79,50.0,12.0,7.0,5.0,1.42,30.0,10,8,2,18.34,57.1,14,10,4,-12.97,44.8,29,15,14
BTC,1h,Z+거래량,RSI과매수,TP4SL1,4,2,6,3.91,-6.53,0.384,167,-1.48,33.3,12.0,2.0,10.0,16.51,61.5,13.0,0.0,13.0,3.33,52.6,19.0,3.0,16.0,-6.53,32.0,25,8,17,8.35,37.9,29,4,25,3.3,40.6,69,12,57
BTC,1h,RSI+거래량,RSI+깊은피보,TP5SL2,4,2,6,4.24,-6.56,0.313,134,-6.56,25.0,12.0,6.0,6.0,4.68,50.0,8.0,3.0,5.0,4.19,47.1,17.0,6.0,11.0,-1.96,35.0,20,8,12,14.52,46.4,28,9,19,10.56,57.1,49,15,34
ETH,4h,Z-Score낮음,기본,TP6SL2,4,2,6,5.48,-11.55,0.309,155,10.6,35.7,14.0,1.0,13.0,4.64,33.3,18.0,1.0,17.0,0.32,30.0,10.0,0.0,10.0,-3.31,29.2,24,0,24,32.2,41.2,34,2,32,-11.55,27.3,55,1,54
BTC,1h,RSI+거래량,Z-Score높음,TP5SL2,4,2,6,1.38,-8.9,0.217,140,3.56,53.8,13.0,6.0,7.0,7.51,58.3,12.0,3.0,9.0,5.24,47.4,19.0,5.0,14.0,-6.06,26.3,19,8,11,6.94,41.7,24,11,13,-8.9,45.3,53,13,40
BTC,1h,Z+거래량,Z-Score높음,TP6SL2,4,2,6,1.4,-2.92,0.184,120,2.81,55.6,9.0,2.0,7.0,5.66,55.6,9.0,0.0,9.0,2.24,52.9,17.0,2.0,15.0,2.11,40.0,20,9,11,-1.49,43.8,16,4,12,-2.92,44.9,49,9,40
BTC,1h,RSI+거래량,Z-Score높음,TP6SL2,4,2,6,1.51,-9.63,0.183,139,2.22,53.8,13.0,6.0,7.0,7.17,58.3,12.0,3.0,9.0,5.24,47.4,19.0,5.0,14.0,-9.63,26.3,19,8,11,9.42,41.7,24,11,13,-5.38,46.2,52,12,40
ETH,1h,Z+거래량,거래량스파이크,TP5SL2,4,2,6,1.29,-18.56,0.155,286,0.98,38.5,26.0,2.0,24.0,23.52,44.4,27.0,0.0,27.0,4.01,36.0,25.0,2.0,23.0,-10.78,31.5,54,4,50,8.56,35.6,45,5,40,-18.56,35.8,109,3,106
ETH,1h,Z+거래량,거래량스파이크,TP4SL1,4,2,6,1.28,-9.98,0.149,322,4.95,35.5,31.0,2.0,29.0,14.22,38.7,31.0,0.0,31.0,1.98,31.0,29.0,2.0,27.0,-8.88,28.3,60,4,56,5.36,34.0,50,6,44,-9.98,32.2,121,4,117
