coin,tf,signal,lev,mode,period,ret,bh_ret,beat_bh,n_trades,win_rate,max_dd
BTC,1h,ema10/30,3,L+S,bull_2025q3,-46.46,6.2,False,91,0.242,68.38
BTC,1h,ema20/100,1,L,bull_2025q3,-4.71,6.2,False,22,0.227,12.16
BTC,1h,ema20/100,1,L+S,bull_2025q3,-19.98,6.2,False,44,0.205,22.49
BTC,1h,ema20/100,2,L,bull_2025q3,-9.42,6.2,False,22,0.227,24.32
BTC,1h,ema20/100,2,L+S,bull_2025q3,-39.95,6.2,False,44,0.205,44.97
BTC,1h,ema20/100,3,L,bull_2025q3,-14.12,6.2,False,22,0.227,36.48
BTC,1h,ema20/100,3,L+S,bull_2025q3,-59.93,6.2,False,44,0.205,67.46
BTC,1h,ema5/20,1,L,bull_2025q3,-8.07,6.2,False,87,0.218,14.87
BTC,1h,ema5/20,1,L+S,bull_2025q3,-27.02,6.2,False,173,0.214,27.15
BTC,1h,ema5/20,2,L,bull_2025q3,-16.13,6.2,False,87,0.218,29.75
BTC,1h,ema5/20,2,L+S,bull_2025q3,-54.05,6.2,False,173,0.214,54.3
BTC,1h,ema5/20,3,L,bull_2025q3,-24.2,6.2,False,87,0.218,44.62
BTC,1h,ema5/20,3,L+S,bull_2025q3,-81.07,6.2,False,173,0.214,81.46
BTC,1h,c>ema50,1,L,bull_2025q3,-11.21,6.2,False,102,0.157,21.94
BTC,1h,c>ema50,1,L+S,bull_2025q3,-33.47,6.2,False,204,0.157,38.74
BTC,1h,c>ema50,2,L,bull_2025q3,-22.42,6.2,False,102,0.157,43.89
BTC,1h,c>ema50,2,L+S,bull_2025q3,-66.95,6.2,False,204,0.157,77.48
BTC,1h,c>ema50,3,L,bull_2025q3,-33.63,6.2,False,102,0.157,65.83
BTC,1h,c>ema50,3,L+S,bull_2025q3,-100.42,6.2,False,204,0.157,116.22
BTC,1h,c>ema100,1,L,bull_2025q3,-16.08,6.2,False,81,0.086,22.33
BTC,1h,c>ema100,1,L+S,bull_2025q3,-42.93,6.2,False,162,0.105,44.97
BTC,1h,c>ema100,2,L,bull_2025q3,-32.17,6.2,False,81,0.086,44.66
BTC,1h,c>ema100,2,L+S,bull_2025q3,-85.85,6.2,False,162,0.105,89.94
BTC,1h,c>ema100,3,L,bull_2025q3,-48.25,6.2,False,81,0.086,66.99
BTC,1h,c>ema100,3,L+S,bull_2025q3,-128.78,6.2,False,162,0.105,134.91
BTC,1h,c>ema200,1,L,bull_2025q3,-12.99,6.2,False,67,0.104,18.59
BTC,1h,c>ema200,1,L+S,bull_2025q3,-36.57,6.2,False,134,0.112,37.99
BTC,1h,c>ema200,2,L,bull_2025q3,-25.98,6.2,False,67,0.104,37.18
BTC,1h,c>ema200,2,L+S,bull_2025q3,-73.14,6.2,False,134,0.112,75.98
BTC,1h,c>ema200,3,L,bull_2025q3,-38.97,6.2,False,67,0.104,55.78
BTC,1h,c>ema200,3,L+S,bull_2025q3,-109.71,6.2,False,134,0.112,113.97
BTC,1h,macd12/26,1,L,bull_2025q3,-15.65,6.2,False,100,0.33,19.52
BTC,1h,macd12/26,1,L+S,bull_2025q3,-42.26,6.2,False,199,0.291,41.6
BTC,1h,macd12/26,2,L,bull_2025q3,-31.31,6.2,False,100,0.33,39.04
BTC,1h,macd12/26,2,L+S,bull_2025q3,-84.51,6.2,False,199,0.291,83.2
BTC,1h,macd12/26,3,L,bull_2025q3,-46.96,6.2,False,100,0.33,58.55
BTC,1h,macd12/26,3,L+S,bull_2025q3,-126.77,6.2,False,199,0.291,124.79
BTC,1h,macd26/52,1,L,bull_2025q3,5.16,6.2,False,48,0.375,11.48
BTC,1h,macd26/52,1,L+S,bull_2025q3,-0.76,6.2,False,96,0.344,19.35
BTC,1h,macd26/52,2,L,bull_2025q3,10.32,6.2,True,48,0.375,22.97
BTC,1h,macd26/52,2,L+S,bull_2025q3,-1.53,6.2,False,96,0.344,38.7
BTC,1h,macd26/52,3,L,bull_2025q3,15.48,6.2,True,48,0.375,34.45
BTC,1h,macd26/52,3,L+S,bull_2025q3,-2.29,6.2,False,96,0.344,58.05
BTC,1h,st2.0,1,L,bull_2025q3,-7.73,6.2,False,56,0.25,12.65
BTC,1h,st2.0,1,L+S,bull_2025q3,-26.42,6.2,False,111,0.27,26.45
BTC,1h,st2.0,2,L,bull_2025q3,-15.46,6.2,False,56,0.25,25.3
BTC,1h,st2.0,2,L+S,bull_2025q3,-52.84,6.2,False,111,0.27,52.9
BTC,1h,st2.0,3,L,bull_2025q3,-23.2,6.2,False,56,0.25,37.96
BTC,1h,st2.0,3,L+S,bull_2025q3,-79.26,6.2,False,111,0.27,79.34
BTC,1h,st3.0,1,L,bull_2025q3,-4.63,6.2,False,34,0.294,14.75
BTC,1h,st3.0,1,L+S,bull_2025q3,-20.35,6.2,False,68,0.309,24.23
BTC,1h,st3.0,2,L,bull_2025q3,-9.25,6.2,False,34,0.294,29.51
BTC,1h,st3.0,2,L+S,bull_2025q3,-40.69,6.2,False,68,0.309,48.47
BTC,1h,st3.0,3,L,bull_2025q3,-13.88,6.2,False,34,0.294,44.26
BTC,1h,st3.0,3,L+S,bull_2025q3,-61.04,6.2,False,68,0.309,72.7
BTC,1h,st4.0,1,L,bull_2025q3,-7.16,6.2,False,23,0.304,15.22
BTC,1h,st4.0,1,L+S,bull_2025q3,-25.19,6.2,False,46,0.326,26.61
BTC,1h,st4.0,2,L,bull_2025q3,-14.32,6.2,False,23,0.304,30.44
BTC,1h,st4.0,2,L+S,bull_2025q3,-50.39,6.2,False,46,0.326,53.22
BTC,1h,st4.0,3,L,bull_2025q3,-21.47,6.2,False,23,0.304,45.66
BTC,1h,st4.0,3,L+S,bull_2025q3,-75.58,6.2,False,46,0.326,79.84
BTC,1h,ema20/50,1,L,bull_2024h2,46.75,47.4,False,33,0.485,9.07
BTC,1h,ema20/50,1,L+S,bull_2024h2,46.59,47.4,False,65,0.369,23.78
BTC,1h,ema20/50,2,L,bull_2024h2,93.5,47.4,True,33,0.485,18.13
BTC,1h,ema20/50,2,L+S,bull_2024h2,93.18,47.4,True,65,0.369,47.56
BTC,1h,ema20/50,3,L,bull_2024h2,140.25,47.4,True,33,0.485,27.2
BTC,1h,ema20/50,3,L+S,bull_2024h2,139.76,47.4,True,65,0.369,71.34
BTC,1h,ema50/200,1,L,bull_2024h2,25.24,47.4,False,15,0.467,13.92
BTC,1h,ema50/200,1,L+S,bull_2024h2,5.66,47.4,False,31,0.387,25.57
BTC,1h,ema50/200,2,L,bull_2024h2,50.48,47.4,True,15,0.467,27.84
BTC,1h,ema50/200,2,L+S,bull_2024h2,11.32,47.4,False,31,0.387,51.14
BTC,1h,ema50/200,3,L,bull_2024h2,75.72,47.4,True,15,0.467,41.76
BTC,1h,ema50/200,3,L+S,bull_2024h2,16.99,47.4,False,31,0.387,76.71
BTC,1h,ema10/30,1,L,bull_2024h2,50.44,47.4,True,64,0.375,9.31
BTC,1h,ema10/30,1,L+S,bull_2024h2,53.1,47.4,True,127,0.354,20.33
BTC,1h,ema10/30,2,L,bull_2024h2,100.87,47.4,True,64,0.375,18.62
BTC,1h,ema10/30,2,L+S,bull_2024h2,106.19,47.4,True,127,0.354,40.66
BTC,1h,ema10/30,3,L,bull_2024h2,151.31,47.4,True,64,0.375,27.93
BTC,1h,ema10/30,3,L+S,bull_2024h2,159.29,47.4,True,127,0.354,60.99
BTC,1h,ema20/100,1,L,bull_2024h2,47.25,47.4,False,25,0.4,7.73
