entry_dt,exit_dt,side,regime,entry,exit,tp,sl,result,pnl_pct,hold
2026-01-26 01:00:00+00:00,2026-01-26 02:15:00+00:00,short,trend,87239.7,87850.11165311617,86222.34724480637,87850.11165311617,loss,-2.2191,5
2026-01-28 15:00:00+00:00,2026-01-28 17:30:00+00:00,long,trend,89053.2,89825.817865184,89825.817865184,88589.6292808896,win,2.4828,10
2026-01-31 23:15:00+00:00,2026-02-01 14:30:00+00:00,short,trend,78933.1,77381.40075444165,77381.40075444165,79864.11954733501,win,5.7775,61
2026-02-05 09:00:00+00:00,2026-02-05 11:15:00+00:00,short,trend,71782.4,70382.64293942563,70382.64293942563,72622.25423634461,win,5.73,9
2026-02-07 00:30:00+00:00,2026-02-07 04:00:00+00:00,long,trend,69696.2,71022.3863646367,71022.3863646367,68900.48818121798,win,5.5884,14
2026-02-07 12:00:00+00:00,2026-02-07 12:15:00+00:00,short,trend,68811.3,69552.55651601647,67575.87247330589,69552.55651601647,loss,-3.3517,1
2026-02-08 16:45:00+00:00,2026-02-08 18:30:00+00:00,long,trend,70388.7,71273.96875812611,71273.96875812611,69857.53874512433,win,3.6531,7
2026-02-12 22:45:00+00:00,2026-02-13 09:00:00+00:00,short,trend,66262.4,66802.81852199924,65361.702463334586,66802.81852199924,loss,-2.5667,41
2026-02-14 13:15:00+00:00,2026-02-14 15:15:00+00:00,long,trend,69234.0,69925.59172840496,69925.59172840496,68819.04496295702,win,2.8768,8
2026-02-20 00:00:00+00:00,2026-02-20 05:30:00+00:00,long,breakout,67159.1,67650.19280147126,67650.19280147126,66831.70479901918,win,2.0737,22
2026-02-20 11:30:00+00:00,2026-02-20 13:00:00+00:00,long,trend,67417.7,67108.49270656166,67933.04548906388,67108.49270656166,loss,-1.4959,6
2026-02-25 22:30:00+00:00,2026-02-25 23:30:00+00:00,long,trend,68388.0,67741.71302474785,69465.14495875359,67741.71302474785,loss,-2.9551,4
2026-02-25 23:30:00+00:00,2026-02-26 04:30:00+00:00,long,trend,67670.3,68786.62890376305,68786.62890376305,67000.50265774218,win,4.829,20
2026-02-27 00:15:00+00:00,2026-02-27 03:45:00+00:00,short,breakout,67272.0,67633.52169225745,66729.71746161382,67633.52169225745,loss,-1.7322,14
