entry_dt,exit_dt,side,result,pnl_pct
2025-04-02 20:15:00+00:00,2025-04-02 22:00:00+00:00,short,win,6.2091
2025-04-15 13:45:00+00:00,2025-04-15 14:00:00+00:00,short,loss,-1.3927
2025-04-16 17:30:00+00:00,2025-04-16 17:45:00+00:00,short,win,3.384
2025-04-19 15:30:00+00:00,2025-04-19 16:45:00+00:00,short,win,1.1408
2025-04-23 13:30:00+00:00,2025-04-23 13:45:00+00:00,short,loss,-1.531
2025-04-26 13:45:00+00:00,2025-04-26 14:00:00+00:00,long,loss,-0.7872
2025-04-29 01:45:00+00:00,2025-04-29 11:00:00+00:00,short,loss,-1.2393
2025-06-02 14:00:00+00:00,2025-06-02 20:00:00+00:00,long,win,2.1535
2025-06-11 12:00:00+00:00,2025-06-11 12:15:00+00:00,long,loss,-0.633
2025-06-12 13:30:00+00:00,2025-06-12 15:00:00+00:00,long,win,1.6845
2025-06-17 14:00:00+00:00,2025-06-17 14:15:00+00:00,long,loss,-1.1369
2025-06-21 23:45:00+00:00,2025-06-22 00:30:00+00:00,long,win,3.1064
2025-06-23 13:30:00+00:00,2025-06-23 14:30:00+00:00,long,loss,-1.344
2025-07-02 01:15:00+00:00,2025-07-02 03:15:00+00:00,long,win,1.4419
2025-07-10 14:15:00+00:00,2025-07-10 14:30:00+00:00,short,loss,-0.9242
2025-07-22 01:15:00+00:00,2025-07-22 03:15:00+00:00,long,loss,-1.2408
2025-07-23 08:00:00+00:00,2025-07-23 08:30:00+00:00,long,loss,-0.8066
2025-07-24 03:30:00+00:00,2025-07-24 04:00:00+00:00,short,win,1.4854
2025-08-04 13:30:00+00:00,2025-08-04 14:00:00+00:00,long,win,1.2676
2025-08-14 12:15:00+00:00,2025-08-14 12:30:00+00:00,long,loss,-1.0715
2025-08-19 13:30:00+00:00,2025-08-19 14:15:00+00:00,short,win,1.5756
2025-08-21 02:00:00+00:00,2025-08-21 09:00:00+00:00,short,win,1.8216
2025-08-24 10:30:00+00:00,2025-08-24 11:15:00+00:00,long,loss,-0.6336
2025-08-29 21:00:00+00:00,2025-08-30 01:45:00+00:00,long,loss,-1.3796
2025-09-03 12:30:00+00:00,2025-09-03 13:30:00+00:00,short,loss,-0.8608
2025-09-29 12:30:00+00:00,2025-09-29 13:30:00+00:00,short,loss,-0.7416
2025-10-03 13:30:00+00:00,2025-10-03 13:45:00+00:00,short,loss,-0.828
2025-10-16 09:30:00+00:00,2025-10-16 13:45:00+00:00,long,loss,-1.6244
2025-10-20 15:00:00+00:00,2025-10-20 15:45:00+00:00,short,loss,-1.1777
2025-10-22 11:00:00+00:00,2025-10-22 11:45:00+00:00,long,loss,-1.4143
2025-11-07 22:00:00+00:00,2025-11-08 00:30:00+00:00,short,win,3.1677
2025-11-13 03:15:00+00:00,2025-11-13 05:45:00+00:00,long,win,3.2957
2025-11-18 02:15:00+00:00,2025-11-18 02:45:00+00:00,long,loss,-2.0797
2025-11-24 14:30:00+00:00,2025-11-24 14:45:00+00:00,short,loss,-1.8265
2025-12-16 04:45:00+00:00,2025-12-16 06:45:00+00:00,long,win,2.4755
2025-12-16 13:30:00+00:00,2025-12-16 14:00:00+00:00,short,win,2.7546
2025-12-19 15:15:00+00:00,2025-12-19 16:30:00+00:00,short,loss,-2.0521
2026-01-09 01:30:00+00:00,2026-01-09 02:00:00+00:00,short,loss,-1.1493
2026-01-11 23:00:00+00:00,2026-01-12 00:15:00+00:00,long,win,1.3607
2026-01-16 14:30:00+00:00,2026-01-16 14:45:00+00:00,short,loss,-0.8377
2026-01-22 13:30:00+00:00,2026-01-22 14:30:00+00:00,short,win,1.4231
2026-01-26 14:30:00+00:00,2026-01-26 14:45:00+00:00,long,loss,-1.1434
2026-01-27 15:00:00+00:00,2026-01-27 15:15:00+00:00,long,loss,-1.1102
