rsi_long,rsi_short,sl_mult,tp_mode,leverage,pos_ratio,use_ema200,return_pct,max_drawdown,calmar,trades,win_rate,long_trades,long_win_rate,short_trades,short_win_rate,positive_years,total_years,pos_year_rate,y2017,y2018,y2019,y2020,y2021,y2022,y2023,y2024,y2025,y2026,bh_excess
25,65,3.0,atr_2x,1,0.3,True,11.55,11.04,1.05,70,67.1,4,75.0,66,66.7,5,10,50.0,0.0,-2.5,-0.8,1.0,0.4,5.2,0.0,4.1,4.4,-0.6,-527.45
20,65,1.5,atr_3x,1,0.3,True,11.38,7.6,1.5,73,41.1,0,0.0,73,41.1,6,10,60.0,0.0,-0.0,-0.5,0.4,0.0,3.9,0.7,0.9,5.6,0.1,-527.62
20,65,3.0,atr_2x,1,0.3,True,10.89,11.56,0.94,66,66.7,0,0.0,66,66.7,3,10,30.0,0.0,-2.5,-0.8,-0.4,0.0,6.4,0.0,4.1,4.4,-0.6,-528.11
25,65,2.0,atr_3x,1,0.3,True,10.66,12.01,0.89,70,47.1,4,25.0,66,48.5,7,10,70.0,0.0,1.1,-2.8,4.0,-2.2,2.0,0.6,2.5,4.5,0.8,-528.34
20,70,2.0,atr_3x,2,0.5,True,10.61,27.25,0.39,27,48.1,0,0.0,27,48.1,6,10,60.0,0.0,-19.1,1.4,9.6,0.0,12.1,4.1,-2.9,2.0,6.6,-528.39
25,65,2.5,atr_2x,1,0.3,True,10.6,12.13,0.87,73,63.0,4,50.0,69,63.8,4,10,40.0,0.0,-1.7,-0.1,-1.0,-2.8,6.6,0.5,4.3,5.0,-0.2,-528.4
20,70,2.0,atr_3x,3,0.3,True,10.02,24.74,0.4,27,48.1,0,0.0,27,48.1,6,10,60.0,0.0,-17.2,1.2,8.7,0.0,10.9,3.7,-2.6,1.8,5.9,-528.98
20,70,2.0,atr_3x,3,0.7,True,9.9,51.39,0.19,27,48.1,0,0.0,27,48.1,6,10,60.0,0.0,-39.5,2.4,17.6,0.0,24.8,8.4,-6.0,4.3,13.8,-529.1
20,65,3.0,atr_3x,3,0.3,True,9.88,38.0,0.26,60,55.0,0,0.0,60,55.0,4,10,40.0,0.0,-9.9,-3.5,-5.1,0.0,11.5,-2.2,12.8,8.1,0.2,-529.12
20,65,3.0,atr_3x,1,0.7,True,9.8,30.59,0.32,60,55.0,0,0.0,60,55.0,4,10,40.0,0.0,-7.0,-2.6,-3.7,0.0,9.2,-1.6,9.9,6.4,0.2,-529.2
20,65,3.0,atr_3x,2,0.5,True,9.44,41.49,0.23,60,55.0,0,0.0,60,55.0,4,10,40.0,0.0,-11.5,-4.0,-5.8,0.0,12.5,-2.4,14.2,8.9,0.2,-529.56
