rsi_thresh,sl_atr_mult,tp_mode,leverage,pos_ratio,use_ema200,trades,trades_per_yr,win_rate,return_pct,max_drawdown,calmar,timeframe
35,1.0,bb_mid,7,0.3,True,47,15.7,40.4,19.22,20.57,0.93,1h
30,1.0,atr_2x,7,0.2,True,15,5.0,46.7,19.19,4.77,4.02,1h
45,2.0,atr_3x,5,0.1,True,126,42.0,38.1,19.09,16.15,1.18,1h
45,1.5,bb_mid,5,0.3,True,152,50.7,57.9,18.77,35.89,0.52,1h
35,1.5,atr_3x,3,0.2,True,41,13.7,39.0,18.68,8.08,2.31,1h
35,1.5,atr_2x,3,0.3,True,42,14.0,45.2,18.47,8.66,2.13,1h
45,1.0,atr_3x,3,0.2,True,150,50.0,26.0,18.24,13.79,1.32,1h
40,1.5,atr_3x,5,0.1,True,98,32.7,33.7,18.05,12.18,1.48,1h
35,2.0,atr_3x,7,0.1,True,39,13.0,46.2,18.0,11.61,1.55,1h
45,1.5,bb_mid,7,0.2,True,152,50.7,57.9,17.97,33.91,0.53,1h
30,2.0,atr_2x,7,0.2,True,14,4.7,57.1,17.96,6.24,2.88,1h
30,2.0,bb_mid,5,0.3,True,14,4.7,71.4,17.86,5.8,3.08,1h
45,1.5,atr_3x,3,0.2,True,135,45.0,32.6,17.61,18.84,0.93,1h
35,1.0,atr_3x,3,0.2,True,45,15.0,28.9,17.3,9.6,1.8,1h
30,1.5,atr_2x,5,0.2,True,14,4.7,57.1,16.84,3.38,4.98,1h
30,1.0,bb_mid,5,0.3,True,15,5.0,53.3,16.67,6.62,2.52,1h
30,2.0,bb_mid,7,0.2,True,14,4.7,71.4,16.64,5.42,3.07,1h
45,1.5,atr_2x,5,0.2,True,141,47.0,42.6,16.61,22.9,0.73,1h
30,2.0,atr_3x,7,0.1,True,14,4.7,57.1,16.39,3.12,5.25,1h
30,1.5,atr_3x,3,0.2,True,14,4.7,57.1,16.35,2.03,8.06,1h
30,1.0,atr_3x,7,0.1,True,15,5.0,46.7,16.22,2.72,5.96,1h
40,1.0,atr_2x,5,0.2,True,111,37.0,34.2,15.81,19.43,0.81,1h
35,1.5,bb_mid,5,0.3,True,42,14.0,54.8,15.8,17.33,0.91,1h
35,2.0,bb_mid,7,0.3,True,41,13.7,63.4,15.77,27.03,0.58,1h
40,2.0,atr_3x,5,0.3,True,93,31.0,37.6,15.75,43.14,0.37,1h
40,2.0,atr_3x,7,0.2,True,93,31.0,37.6,15.67,40.88,0.38,1h
30,1.0,bb_mid,7,0.2,True,15,5.0,53.3,15.54,6.19,2.51,1h
35,1.5,atr_3x,5,0.1,True,41,13.7,39.0,15.53,6.76,2.3,1h
35,2.0,atr_3x,3,0.2,True,39,13.0,46.2,15.5,10.01,1.55,1h
45,1.5,atr_2x,3,0.3,True,141,47.0,42.6,15.39,20.82,0.74,1h
45,1.0,atr_3x,5,0.1,True,150,50.0,26.0,15.39,11.6,1.33,1h
40,1.0,atr_3x,3,0.1,True,107,35.7,29.0,15.19,7.08,2.14,1h
30,1.5,atr_2x,3,0.3,True,14,4.7,57.1,15.1,3.04,4.97,1h
35,2.0,atr_2x,5,0.2,True,41,13.7,51.2,15.08,12.11,1.25,1h
45,1.5,atr_3x,5,0.1,True,135,45.0,32.6,14.93,15.93,0.94,1h
35,1.5,bb_mid,7,0.2,True,42,14.0,54.8,14.91,16.24,0.92,1h
35,1.0,bb_mid,5,0.3,True,47,15.7,40.4,14.67,15.02,0.98,1h
40,1.0,atr_2x,3,0.3,True,111,37.0,34.2,14.43,17.64,0.82,1h
35,1.5,atr_2x,7,0.1,True,42,14.0,45.2,14.42,6.78,2.13,1h
35,1.0,atr_3x,5,0.1,True,45,15.0,28.9,14.39,8.06,1.79,1h
35,1.0,atr_2x,5,0.2,True,47,15.7,34.0,14.27,9.4,1.52,1h
