entry_dt,exit_dt,side,result,pnl_pct
2023-10-10 11:30:00+00:00,2023-10-10 11:45:00+00:00,long,loss,-0.7748
2023-10-15 08:45:00+00:00,2023-10-15 11:00:00+00:00,short,win,0.1393
2023-11-02 13:45:00+00:00,2023-11-02 15:15:00+00:00,long,loss,-2.2328
2023-11-05 14:00:00+00:00,2023-11-05 17:00:00+00:00,long,win,1.6153
2023-11-18 15:30:00+00:00,2023-11-18 16:00:00+00:00,short,loss,-0.995
2023-12-06 10:30:00+00:00,2023-12-06 11:00:00+00:00,short,win,2.8658
2023-12-09 08:45:00+00:00,2023-12-09 23:30:00+00:00,long,loss,-1.2675
2023-12-13 15:15:00+00:00,2023-12-13 16:00:00+00:00,short,loss,-1.687
2023-12-27 08:45:00+00:00,2023-12-27 10:15:00+00:00,short,loss,-1.1867
2023-12-29 14:45:00+00:00,2023-12-29 15:00:00+00:00,short,win,1.3434
2023-12-31 07:30:00+00:00,2023-12-31 09:15:00+00:00,short,loss,-1.2571
2024-01-01 18:15:00+00:00,2024-01-01 19:15:00+00:00,short,loss,-1.3326
2024-01-03 11:30:00+00:00,2024-01-03 11:45:00+00:00,long,loss,-2.1984
2024-01-07 00:45:00+00:00,2024-01-07 02:30:00+00:00,short,win,1.4589
2024-01-07 13:30:00+00:00,2024-01-07 15:45:00+00:00,short,win,1.9837
2024-01-10 09:00:00+00:00,2024-01-10 11:45:00+00:00,long,loss,-1.8669
2024-01-14 20:00:00+00:00,2024-01-14 21:15:00+00:00,long,loss,-1.7555
2024-01-18 11:00:00+00:00,2024-01-18 15:00:00+00:00,long,win,1.9241
2024-01-19 14:45:00+00:00,2024-01-19 15:30:00+00:00,long,loss,-1.7213
2024-01-23 08:15:00+00:00,2024-01-23 08:45:00+00:00,long,loss,-1.7247
2024-01-26 02:30:00+00:00,2024-01-26 07:15:00+00:00,short,win,1.3319
2024-01-29 16:00:00+00:00,2024-01-29 16:15:00+00:00,short,loss,-1.9683
2024-02-02 14:00:00+00:00,2024-02-02 15:00:00+00:00,long,win,1.9412
2024-02-06 15:30:00+00:00,2024-02-07 03:30:00+00:00,short,win,1.9284
2024-02-07 17:30:00+00:00,2024-02-07 19:00:00+00:00,short,loss,-1.6616
2024-02-12 00:30:00+00:00,2024-02-12 02:30:00+00:00,short,win,2.5878
2024-02-14 07:30:00+00:00,2024-02-14 08:45:00+00:00,short,loss,-1.3119
2024-02-15 00:45:00+00:00,2024-02-15 01:15:00+00:00,short,win,2.8533
2024-02-25 16:45:00+00:00,2024-02-25 19:00:00+00:00,long,win,1.2626
2024-02-29 06:15:00+00:00,2024-02-29 16:30:00+00:00,short,win,5.7644
2024-02-29 17:45:00+00:00,2024-03-01 12:30:00+00:00,long,win,6.9104
2024-03-04 08:45:00+00:00,2024-03-04 14:30:00+00:00,short,loss,-2.668
2024-03-10 01:15:00+00:00,2024-03-10 02:15:00+00:00,short,loss,-1.2815
2024-03-12 16:45:00+00:00,2024-03-12 17:00:00+00:00,long,loss,-3.6569
2024-03-18 14:45:00+00:00,2024-03-18 16:15:00+00:00,long,win,4.1384
2024-03-24 00:00:00+00:00,2024-03-24 08:00:00+00:00,long,win,2.7084
