macro_span,bull_rsi_long,bear_rsi_long,rsi_short,sl_mult,tp_mode,leverage,pos_ratio,trades,long_trades,short_trades,win_rate,long_win_rate,short_win_rate,return_pct,max_drawdown,calmar
500,40,25,70,1.5,atr_2x,3,0.5,299,237,62,36.8,35.4,41.9,-93.13,94.09,-0.99
500,45,25,70,2.0,atr_3x,3,0.7,284,229,55,39.1,36.7,49.1,-93.16,98.72,-0.94
500,35,20,65,2.0,atr_2x,3,0.7,213,107,106,48.8,43.0,54.7,-93.33,96.79,-0.96
800,35,20,70,2.0,atr_3x,3,0.7,172,101,71,38.4,36.6,40.8,-93.37,97.2,-0.96
500,35,20,65,1.5,atr_2x,3,0.7,233,117,116,41.2,35.9,46.6,-93.48,96.49,-0.97
800,40,25,65,2.0,atr_3x,3,0.7,305,190,115,39.3,35.3,46.1,-93.66,98.37,-0.95
500,35,20,70,1.5,atr_2x,3,0.7,179,117,62,38.0,35.9,41.9,-93.69,96.42,-0.97
800,45,25,70,1.5,atr_2x,3,0.5,334,250,84,36.2,36.0,36.9,-93.71,94.85,-0.99
800,40,25,70,1.5,atr_2x,3,0.5,304,220,84,35.9,35.5,36.9,-93.74,94.8,-0.99
1200,40,20,65,1.5,atr_3x,3,0.7,274,151,123,32.1,29.1,35.8,-93.79,95.72,-0.98
500,40,20,65,1.5,atr_2x,3,0.7,283,167,116,41.3,37.7,46.6,-93.89,96.22,-0.98
1200,40,25,65,2.0,atr_3x,3,0.7,283,178,105,39.2,35.4,45.7,-94.03,97.83,-0.96
500,45,20,65,1.5,atr_2x,3,0.7,313,197,116,41.2,38.1,46.6,-94.03,96.64,-0.97
500,40,20,70,1.5,atr_2x,3,0.7,229,167,62,38.9,37.7,41.9,-94.09,96.05,-0.98
1200,45,20,65,1.5,atr_3x,3,0.7,299,176,123,32.1,29.5,35.8,-94.11,95.99,-0.98
800,35,25,70,2.0,atr_3x,3,0.7,220,149,71,37.3,35.6,40.8,-94.11,98.55,-0.95
1200,35,20,70,2.0,atr_3x,3,0.7,158,93,65,36.7,36.6,36.9,-94.12,96.06,-0.98
500,45,20,70,2.0,atr_2x,3,0.7,237,181,56,46.4,44.8,51.8,-94.12,95.69,-0.98
500,45,25,65,1.5,atr_3x,3,0.7,371,260,111,33.2,29.2,42.3,-94.17,97.83,-0.96
500,45,20,70,1.5,atr_2x,3,0.7,259,197,62,39.0,38.1,41.9,-94.23,95.69,-0.98
500,40,25,70,2.0,atr_3x,3,0.7,261,206,55,38.7,35.9,49.1,-94.34,98.89,-0.95
1200,35,25,70,1.5,atr_3x,3,0.5,233,155,78,27.0,26.5,28.2,-94.41,96.93,-0.97
500,35,25,65,1.5,atr_3x,3,0.7,297,186,111,33.3,28.0,42.3,-94.41,98.24,-0.96
500,40,25,65,1.5,atr_3x,3,0.7,344,233,111,33.1,28.8,42.3,-94.47,98.03,-0.96
1200,35,25,65,1.5,atr_2x,3,0.5,281,156,125,36.3,32.7,40.8,-94.65,96.01,-0.99
1200,40,25,70,1.5,atr_3x,3,0.5,280,202,78,27.5,27.2,28.2,-94.71,96.7,-0.98
1200,45,25,70,1.5,atr_3x,3,0.5,305,227,78,27.9,27.8,28.2,-94.78,96.53,-0.98
1200,35,25,70,1.5,atr_2x,3,0.5,234,156,78,32.9,32.7,33.3,-94.84,95.83,-0.99
800,45,20,70,2.0,atr_3x,3,0.7,235,164,71,38.3,37.2,40.8,-94.87,97.39,-0.97
500,45,20,65,2.0,atr_2x,3,0.7,287,181,106,48.4,44.8,54.7,-95.04,97.51,-0.97
500,40,20,70,2.0,atr_2x,3,0.7,209,153,56,45.9,43.8,51.8,-95.07,96.73,-0.98
800,35,20,70,1.5,atr_3x,3,0.7,196,112,84,30.6,29.5,32.1,-95.15,97.69,-0.97
1200,40,25,65,1.5,atr_2x,3,0.5,331,206,125,36.9,34.5,40.8,-95.16,96.06,-0.99
800,35,20,70,2.0,atr_2x,3,0.7,176,103,73,44.3,42.7,46.6,-95.21,97.02,-0.98
1200,40,25,70,1.5,atr_2x,3,0.5,284,206,78,34.2,34.5,33.3,-95.33,95.99,-0.99
1200,45,25,65,1.5,atr_2x,3,0.5,359,234,125,37.0,35.0,40.8,-95.34,96.11,-0.99
800,45,25,70,2.0,atr_3x,3,0.7,283,212,71,37.5,36.3,40.8,-95.44,98.65,-0.97
1200,45,25,70,1.5,atr_2x,3,0.5,312,234,78,34.6,35.0,33.3,-95.5,96.04,-0.99
1200,45,20,70,2.0,atr_3x,3,0.7,221,156,65,37.1,37.2,36.9,-95.51,96.97,-0.98
800,35,25,70,2.0,atr_2x,3,0.7,224,151,73,43.8,42.4,46.6,-95.51,98.07,-0.97
1200,35,25,70,2.0,atr_3x,3,0.7,200,135,65,36.0,35.6,36.9,-95.53,98.46,-0.97
