macro_span,bull_rsi_long,bear_rsi_long,rsi_short,sl_mult,tp_mode,leverage,pos_ratio,trades,long_trades,short_trades,win_rate,long_win_rate,short_win_rate,return_pct,max_drawdown,calmar
800,35,20,65,1.5,atr_2x,3,0.7,243,94,149,34.2,37.2,32.2,-99.68,99.75,-1.0
1200,35,20,65,2.0,atr_3x,3,0.7,219,76,143,37.4,35.5,38.5,-99.69,99.92,-1.0
500,40,20,65,1.5,atr_3x,3,0.7,247,126,121,31.2,31.0,31.4,-99.7,99.77,-1.0
500,35,25,65,1.5,atr_2x,3,0.7,285,162,123,35.8,36.4,35.0,-99.71,99.75,-1.0
800,45,25,65,1.5,atr_2x,3,0.5,346,197,149,33.5,34.5,32.2,-99.71,99.75,-1.0
500,45,20,70,1.5,atr_2x,3,0.7,219,143,76,34.2,36.4,30.3,-99.72,99.78,-1.0
800,35,20,70,1.5,atr_3x,3,0.7,191,92,99,27.7,29.3,26.3,-99.72,99.83,-1.0
1200,45,25,65,1.5,atr_3x,3,0.5,344,180,164,29.7,28.9,30.5,-99.73,99.78,-1.0
1200,35,25,65,1.5,atr_2x,3,0.7,311,144,167,36.0,36.8,35.3,-99.73,99.78,-1.0
800,45,25,70,1.5,atr_3x,3,0.5,292,193,99,27.7,28.5,26.3,-99.74,99.77,-1.0
800,40,20,70,2.0,atr_3x,3,0.7,191,107,84,36.6,38.3,34.5,-99.74,99.85,-1.0
500,45,20,65,2.0,atr_2x,3,0.7,233,125,108,43.8,44.0,43.5,-99.74,99.83,-1.0
1200,40,20,70,1.5,atr_2x,3,0.7,223,109,114,34.5,35.8,33.3,-99.77,99.82,-1.0
1200,40,20,70,2.0,atr_3x,3,0.7,197,98,99,37.6,36.7,38.4,-99.78,99.84,-1.0
1200,35,20,65,1.5,atr_3x,3,0.7,249,84,165,30.1,29.8,30.3,-99.78,99.83,-1.0
1200,40,20,70,2.0,atr_2x,3,0.7,197,98,99,42.6,41.8,43.4,-99.79,99.85,-1.0
800,35,25,70,1.5,atr_2x,3,0.7,253,154,99,33.2,35.7,29.3,-99.79,99.81,-1.0
1200,35,25,65,2.0,atr_2x,3,0.7,279,132,147,43.4,42.4,44.2,-99.79,99.88,-1.0
800,40,20,65,2.0,atr_3x,3,0.7,233,107,126,37.3,38.3,36.5,-99.8,99.87,-1.0
800,45,25,65,1.5,atr_3x,3,0.5,339,193,146,28.6,28.5,28.8,-99.8,99.83,-1.0
500,45,20,65,1.5,atr_2x,3,0.7,266,143,123,35.7,36.4,35.0,-99.8,99.84,-1.0
800,40,20,70,2.0,atr_2x,3,0.7,191,107,84,40.8,43.0,38.1,-99.8,99.86,-1.0
500,35,25,65,2.0,atr_3x,3,0.7,249,145,104,38.2,36.6,40.4,-99.81,99.96,-1.0
800,35,20,65,1.5,atr_3x,3,0.7,239,92,147,28.9,29.3,28.6,-99.82,99.86,-1.0
500,40,25,70,2.0,atr_2x,3,0.7,239,173,66,42.3,42.8,40.9,-99.82,99.86,-1.0
800,35,25,65,2.0,atr_2x,3,0.7,271,141,130,42.1,43.3,40.8,-99.82,99.91,-1.0
500,35,25,70,2.0,atr_3x,3,0.7,211,145,66,37.0,36.6,37.9,-99.83,99.97,-1.0
800,35,25,70,2.0,atr_3x,3,0.7,223,139,84,36.3,37.4,34.5,-99.84,99.97,-1.0
1200,40,20,70,1.5,atr_3x,3,0.7,223,109,114,29.6,30.3,28.9,-99.85,99.87,-1.0
1200,40,20,65,1.5,atr_2x,3,0.7,276,109,167,35.5,35.8,35.3,-99.85,99.89,-1.0
1200,45,20,70,2.0,atr_3x,3,0.7,210,111,99,37.6,36.9,38.4,-99.85,99.92,-1.0
1200,40,20,65,2.0,atr_2x,3,0.7,245,98,147,43.3,41.8,44.2,-99.87,99.91,-1.0
1200,45,20,70,1.5,atr_2x,3,0.7,239,125,114,34.3,35.2,33.3,-99.87,99.9,-1.0
800,40,20,70,1.5,atr_2x,3,0.7,218,119,99,32.6,35.3,29.3,-99.87,99.9,-1.0
800,35,25,65,2.0,atr_3x,3,0.7,265,139,126,37.0,37.4,36.5,-99.88,99.97,-1.0
1200,45,20,70,2.0,atr_2x,3,0.7,210,111,99,42.9,42.3,43.4,-99.88,99.92,-1.0
500,35,25,70,1.5,atr_3x,3,0.7,236,160,76,28.8,29.4,27.6,-99.88,99.9,-1.0
500,40,25,70,1.5,atr_2x,3,0.7,266,190,76,34.2,35.8,30.3,-99.88,99.89,-1.0
500,35,25,65,1.5,atr_3x,3,0.7,280,160,120,30.4,29.4,31.7,-99.88,99.91,-1.0
800,45,20,70,2.0,atr_3x,3,0.7,204,120,84,36.3,37.5,34.5,-99.88,99.93,-1.0
500,40,25,65,2.0,atr_2x,3,0.7,281,173,108,43.1,42.8,43.5,-99.88,99.91,-1.0
1200,40,20,65,2.0,atr_3x,3,0.7,241,98,143,37.8,36.7,38.5,-99.88,99.93,-1.0
800,40,20,70,1.5,atr_3x,3,0.7,218,119,99,28.4,30.3,26.3,-99.89,99.91,-1.0
500,45,20,70,1.5,atr_3x,3,0.7,215,139,76,28.8,29.5,27.6,-99.89,99.91,-1.0
800,35,25,65,1.5,atr_2x,3,0.7,303,154,149,34.0,35.7,32.2,-99.9,99.91,-1.0
500,45,20,65,1.5,atr_3x,3,0.7,260,139,121,30.4,29.5,31.4,-99.9,99.92,-1.0
500,40,25,65,2.0,atr_3x,3,0.7,275,171,104,38.5,37.4,40.4,-99.9,99.94,-1.0
800,45,20,65,2.0,atr_3x,3,0.7,246,120,126,37.0,37.5,36.5,-99.9,99.94,-1.0
800,40,20,65,2.0,atr_2x,3,0.7,237,107,130,41.8,43.0,40.8,-99.9,99.93,-1.0
1200,35,25,70,2.0,atr_3x,3,0.7,229,130,99,36.7,35.4,38.4,-99.91,99.98,-1.0
1200,35,25,70,1.5,atr_3x,3,0.7,256,142,114,28.9,28.9,28.9,-99.91,99.92,-1.0
500,40,25,70,2.0,atr_3x,3,0.7,237,171,66,37.6,37.4,37.9,-99.91,99.93,-1.0
1200,40,25,70,2.0,atr_2x,3,0.7,252,153,99,42.5,41.8,43.4,-99.91,99.93,-1.0
500,45,25,70,2.0,atr_2x,3,0.7,252,186,66,42.5,43.0,40.9,-99.91,99.93,-1.0
800,45,20,70,2.0,atr_2x,3,0.7,205,121,84,41.0,43.0,38.1,-99.91,99.93,-1.0
500,40,25,65,1.5,atr_2x,3,0.7,313,190,123,35.5,35.8,35.0,-99.91,99.93,-1.0
1200,40,20,65,1.5,atr_3x,3,0.7,274,109,165,30.3,30.3,30.3,-99.92,99.94,-1.0
800,40,25,70,2.0,atr_2x,3,0.7,248,164,84,41.1,42.7,38.1,-99.92,99.93,-1.0
1200,45,20,65,2.0,atr_3x,3,0.7,254,111,143,37.8,36.9,38.5,-99.92,99.95,-1.0
1200,45,20,65,1.5,atr_2x,3,0.7,292,125,167,35.3,35.2,35.3,-99.92,99.94,-1.0
1200,40,25,70,1.5,atr_2x,3,0.7,281,167,114,34.5,35.3,33.3,-99.92,99.92,-1.0
1200,45,20,70,1.5,atr_3x,3,0.7,236,122,114,29.2,29.5,28.9,-99.93,99.94,-1.0
1200,45,20,65,2.0,atr_2x,3,0.7,258,111,147,43.4,42.3,44.2,-99.93,99.95,-1.0
800,40,20,65,1.5,atr_3x,3,0.7,266,119,147,29.3,30.3,28.6,-99.93,99.95,-1.0
